,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
0,ACAD AMERICANA DE SISTEMAS Y COMERCIO,1,1,BOGOTÁ,0.0,1.9090909090909092,3.3636363636363638,0.2727272727272727,0.2727272727272727,3.5454545454545454,5.454545454545454,30.0,0.7272727272727273,0.5454545454545454,0.18181818181818182,207.36363636363637
1,ACAD CENTRAL DE SISTEMAS ACSI,1,1,BOGOTÁ,0.0,2.8,3.2,0.6,0.5,5.1,9.9,47.0,1.0,0.9,0.4,231.1
2,ACAD PANTANO DE VARGAS,1,1,CUNDINAMARCA,0.0,3.3125,3.75,0.5,0.875,4.3125,10.96875,45.46875,0.96875,0.9375,0.78125,266.84375
3,ACADEMIA ACADEMIA SAM,1,1,VALLE,0.0,2.5555555555555554,4.333333333333333,0.3333333333333333,0.6666666666666666,3.0,9.666666666666666,36.666666666666664,1.0,0.6666666666666666,0.6666666666666666,241.11111111111111
4,ACADEMIA CIAL DE LOS ANDES,1,1,NORTE SANTANDER,0.0,2.3066666666666666,4.12,0.7466666666666667,0.8133333333333334,5.4,12.56,32.733333333333334,0.9333333333333333,0.76,0.7333333333333333,256.36
5,ACADEMIA COLOMBIANA DE ENSEÑANZA,1,1,VALLE,0.0,2.0793650793650795,3.888888888888889,0.3333333333333333,0.4126984126984127,4.095238095238095,9.333333333333334,22.3015873015873,0.7936507936507936,0.5238095238095238,0.5079365079365079,215.52380952380952
6,ACADEMIA CORPETROL,1,1,HUILA,0.0,2.0,3.5454545454545454,0.18181818181818182,0.2727272727272727,2.4545454545454546,4.909090909090909,27.272727272727273,0.5454545454545454,0.45454545454545453,0.18181818181818182,217.9090909090909
7,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS,1,1,VALLE,0.0,3.4,4.466666666666667,0.7333333333333333,0.8,3.8,14.0,43.666666666666664,0.9333333333333333,1.0,0.6,239.0
8,ACADEMIA E INSTITUTO CAMPAÑA LIBERTADORA,1,1,META,0.0,2.5,5.666666666666667,0.5,0.5,6.5,13.0,50.0,1.0,1.0,0.8333333333333334,272.0
9,ACADEMIA GENERAL CARLOS JULIO GIL COLORADO,1,1,VALLE,0.0,2.4210526315789473,3.9473684210526314,0.5263157894736842,0.7368421052631579,3.789473684210526,8.526315789473685,26.57894736842105,0.7368421052631579,0.631578947368421,0.631578947368421,268.36842105263156
