,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
0,ACAD AMERICANA DE SISTEMAS Y COMERCIO,1,1,BOGOTÁ,0.0,1.8,3.2,0.2,0.3,3.6,5.4,30.5,0.7,0.5,0.9,208.3
1,ACAD CENTRAL DE SISTEMAS ACSI,1,1,BOGOTÁ,0.0,2.8,3.2,0.6,0.5,5.1,9.9,47.0,1.0,0.9,0.6,231.1
2,ACAD PANTANO DE VARGAS,1,1,CUNDINAMARCA,0.0,3.2580645161290325,3.838709677419355,0.5161290322580645,0.8709677419354839,4.451612903225806,10.935483870967742,45.32258064516129,0.967741935483871,0.9354838709677419,0.22580645161290322,267.16129032258067
3,ACADEMIA ACADEMIA SAM,1,1,VALLE,0.0,2.375,4.5,0.375,0.625,2.625,9.375,35.0,1.0,0.625,0.375,234.125
4,ACADEMIA CIAL DE LOS ANDES,1,1,NORTE SANTANDER,0.0,2.2465753424657535,4.123287671232877,0.7671232876712328,0.8082191780821918,5.301369863013699,12.493150684931507,30.89041095890411,0.9315068493150684,0.7534246575342466,0.2602739726027397,254.83561643835617
5,ACADEMIA COLOMBIANA DE ENSEÑANZA,1,1,VALLE,0.0,2.0526315789473686,3.912280701754386,0.3508771929824561,0.43859649122807015,3.8421052631578947,9.157894736842104,22.54385964912281,0.7894736842105263,0.5263157894736842,0.5087719298245614,217.6140350877193
6,ACADEMIA CORPETROL,1,1,HUILA,0.0,2.0,3.4,0.2,0.3,2.1,4.8,25.0,0.5,0.4,0.8,218.2
7,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS,1,1,VALLE,0.0,3.4,4.466666666666667,0.7333333333333333,0.8,3.8,14.0,43.666666666666664,0.9333333333333333,1.0,0.4,239.0
8,ACADEMIA E INSTITUTO CAMPAÑA LIBERTADORA,1,1,META,0.0,2.5,5.666666666666667,0.5,0.5,6.5,13.0,50.0,1.0,1.0,0.16666666666666666,272.0
9,ACADEMIA GENERAL CARLOS JULIO GIL COLORADO,1,1,VALLE,0.0,2.4444444444444446,4.0,0.5555555555555556,0.7222222222222222,3.8333333333333335,8.0,26.666666666666668,0.7222222222222222,0.6111111111111112,0.3333333333333333,266.72222222222223
10,ACADEMIA GUSTAVO ROJAS PINILLAS,1,1,CORDOBA,0.045454545454545456,2.3181818181818183,3.5454545454545454,0.8181818181818182,0.8636363636363636,4.909090909090909,13.636363636363637,29.318181818181817,0.9545454545454546,0.6363636363636364,0.22727272727272727,257.72727272727275
11,ACADEMIA INTERNACIONAL DE ESTUDIOS TECNICOS AIES,1,1,MAGDALENA,0.0,3.0,3.0,0.0,0.0,18.0,18.0,10.0,1.0,1.0,1.0,230.0
12,ACADEMIA MILITAR GENERAL CUSTODIO GARCIA ROVIRA,1,1,CALDAS,0.0,3.2666666666666666,3.533333333333333,0.8666666666666667,0.8666666666666667,5.4,13.0,44.0,0.9333333333333333,1.0,0.2,276.0
13,ACADEMIA MILITAR GENERAL JOSE ANTONIO ANZOATEGUI,1,1,HUILA,0.0,2.638888888888889,3.5,0.8333333333333334,0.8888888888888888,4.0,8.166666666666666,33.47222222222222,1.0,0.75,0.2777777777777778,254.0
14,ACADEMIA MILITAR GRAL TOMAS CIPRIANO DE MOSQUERA,1,1,CAUCA,0.07142857142857142,2.357142857142857,4.0,0.7857142857142857,0.9285714285714286,8.571428571428571,10.285714285714286,48.92857142857143,1.0,0.7857142857142857,0.0,301.42857142857144
15,ACADEMIA MILITAR GUSTAVO MATAMOROS D COSTA,1,1,CAUCA,0.0,2.3157894736842106,3.526315789473684,0.7368421052631579,0.7894736842105263,3.6315789473684212,10.105263157894736,22.894736842105264,0.9473684210526315,0.7368421052631579,0.10526315789473684,260.5263157894737
16,ACADEMIA MILITAR JOSE ANTONIO PAEZ,1,1,CASANARE,0.0,2.625,3.0,0.625,0.875,3.0,8.625,35.0,0.875,0.75,0.125,292.25
17,ACADEMIA MILITAR JOSE ANTONIO PAEZ,1,1,META,0.0,2.5555555555555554,3.4444444444444446,0.5555555555555556,0.6666666666666666,6.0,13.666666666666666,51.111111111111114,1.0,0.7777777777777778,0.6666666666666666,259.55555555555554
18,ACADEMIA MILITAR MARISCAL SUCRE,1,0,BOGOTÁ,0.0,3.02,3.72,0.74,0.86,3.48,11.28,44.8,0.98,0.82,0.3,274.0
19,ACADEMIA POLITECNICA INTERACTIVA,1,1,ANTIOQUIA,0.0,2.5384615384615383,3.3076923076923075,0.5769230769230769,0.6153846153846154,2.8846153846153846,9.23076923076923,23.846153846153847,0.8076923076923077,0.6153846153846154,0.34615384615384615,213.69230769230768
20,ACADEMICO,0,1,VALLE,0.0,2.2416107382550337,3.3624161073825505,0.38926174496644295,0.4563758389261745,4.590604026845638,10.53020134228188,21.97986577181208,0.785234899328859,0.5973154362416108,0.3422818791946309,234.2751677852349
21,ADVENTISTA DE QUIBDO BOLIVAR ESCANDON,1,1,CHOCO,0.8666666666666667,2.2,4.466666666666667,0.6666666666666666,0.7333333333333333,6.2,8.8,43.333333333333336,0.6,0.5333333333333333,0.13333333333333333,245.46666666666667
22,AGRICOLA DE TOMARRAZON,0,0,LA GUAJIRA,0.9655172413793104,2.1379310344827585,5.620689655172414,0.5862068965517241,0.5517241379310345,5.068965517241379,6.517241379310345,26.03448275862069,0.3793103448275862,0.41379310344827586,0.4827586206896552,197.17241379310346
