,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
0,ACAD AMERICANA DE SISTEMAS Y COMERCIO,1,1,BOGOTÁ,0.0,1.8,3.2,30.0,3.6,5.4,30.5,70.0,50.0,90.0,208.3
1,ACAD CENTRAL DE SISTEMAS ACSI,1,1,BOGOTÁ,0.0,2.8,3.2,60.0,5.1,9.9,47.0,100.0,90.0,60.0,231.1
2,ACAD PANTANO DE VARGAS,1,1,CUNDINAMARCA,0.0,3.2580645161290325,3.838709677419355,93.54838709677419,4.451612903225806,10.935483870967742,45.32258064516129,96.7741935483871,93.54838709677419,22.58064516129032,267.16129032258067
3,ACADEMIA ACADEMIA SAM,1,1,VALLE,0.0,2.375,4.5,62.5,2.625,9.375,35.0,100.0,62.5,37.5,234.125
4,ACADEMIA CIAL DE LOS ANDES,1,1,NORTE SANTANDER,0.0,2.2465753424657535,4.123287671232877,93.15068493150685,5.301369863013699,12.493150684931507,30.89041095890411,93.15068493150685,75.34246575342466,26.027397260273972,254.83561643835617
5,ACADEMIA COLOMBIANA DE ENSEÑANZA,1,1,VALLE,0.0,2.0526315789473686,3.912280701754386,59.64912280701754,3.8421052631578947,9.157894736842104,22.54385964912281,78.94736842105263,52.63157894736842,50.877192982456144,217.6140350877193
6,ACADEMIA CORPETROL,1,1,HUILA,0.0,2.0,3.4,30.0,2.1,4.8,25.0,50.0,40.0,80.0,218.2
7,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS,1,1,VALLE,0.0,3.4,4.466666666666667,86.66666666666667,3.8,14.0,43.666666666666664,93.33333333333333,100.0,40.0,239.0
8,ACADEMIA E INSTITUTO CAMPAÑA LIBERTADORA,1,1,META,0.0,2.5,5.666666666666667,50.0,6.5,13.0,50.0,100.0,100.0,16.666666666666664,272.0
9,ACADEMIA GENERAL CARLOS JULIO GIL COLORADO,1,1,VALLE,0.0,2.4444444444444446,4.0,77.77777777777779,3.8333333333333335,8.0,26.666666666666668,72.22222222222221,61.111111111111114,33.33333333333333,266.72222222222223
10,ACADEMIA GUSTAVO ROJAS PINILLAS,1,1,CORDOBA,4.545454545454546,2.3181818181818183,3.5454545454545454,90.9090909090909,4.909090909090909,13.636363636363637,29.318181818181817,95.45454545454545,63.63636363636363,22.727272727272727,257.72727272727275
